,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,tot_correct,forfeit,defense
64-17-4,64,17,4,"Name the play by Victorien Sardou, which takes place in a summer month during the French Revolution, that gives its title to a dish created and named in the play's honor upon its premiere in January, 1894. One current recipe for the dish consists of lobster cubes mixed with cream, seasoned with mustard, served in two halves of the shell, sprinkled with cheese, and cooked au gratin.",THERMIDOR,FOOD/DRINK,80,73,63,49,28,41,49,3.6,1.5
64-17-5,64,17,5,Name the man who served as conductor of the Boston Pops Orchestra from 1930 until his death in July 1979.,ARTHUR FIEDLER,CLASS MUSIC,60,41,37,28,15,24,29,3.6,2.1
64-17-6,64,17,6,"The medieval counties of Vaduz and Schellenberg (specifically, a countship and lordship, respectively) were united in 1719 to become a sovereign member state of the Holy Roman Empire, and ultimately an independent nation, with what name?",LIECHTENSTEIN,GEOGRAPHY,88,77,72,50,27,44,52,3.6,1.5
64-18-1,64,18,1,"The actor Fred Rerun Berry achieved fame primarily as the character ""Rerun"" (which he subsequently adopted as his legal middle name) on what ABC television sitcom, which aired original episodes in the late 1970s, with a syndicated sequel series airing a decade later?",WHAT'S HAPPENING!!,TELEVISION,75,59,52,43,31,38,45,3.8,1.0
64-18-2,64,18,2,"In the late 1980s and early 1990s, the U.S. Senators Alan Cranston, Dennis DeConcini, John Glenn, John McCain, and Donald Riegle were, as a complete set, closely associated with what criminal?",CHARLES KEATING,AMER HIST,77,54,46,32,15,29,36,3.8,1.4
64-18-3,64,18,3,"A law known as the Reinheitsgebot, which originated in the Holy Roman Empire in 1487 and was endorsed more broadly in 1516, famously regulated practices associated with what type of business?",BEER BREWING,FOOD/DRINK,77,62,62,47,28,39,47,3.8,1.4
64-18-4,64,18,4,"The Pacific island nations of Fiji, Vanuatu, Solomon Islands, and Papua New Guinea are within a region of Oceania known by what term, derived from the Greek term for ""black islands""?",MELANESIA,GEOGRAPHY,79,62,49,32,11,27,36,3.8,1.6
64-18-5,64,18,5,"Among the famous works of Renaissance painter El Greco are ""views"" of what Spanish city, which was the artist's home from 1577 until his death in 1614?",TOLEDO,ART,83,73,59,42,21,37,45,3.8,1.8
64-18-6,64,18,6,"What term for ""Hungarian"" (as an ethnic group) is also the name of the country's official language, which is the most widely spoken non-Indo-European language in Europe?",MAGYAR,LANGUAGE,85,79,71,52,28,45,53,3.8,1.4
64-19-1,64,19,1,"Thomas Gradgrind, Nell Trent, Esther Summerson, John Harmon (Rokesmith), and Seth Pecksniff are among the main characters in the works of what author?",CHARLES DICKENS,LITERATURE,81,66,55,38,22,36,43,4.4,1.3
64-19-2,64,19,2,"Name the producer and director, an early pioneer of screen comedy widely credited as the progenitor of slapstick on film, who founded Keystone Studios in 1913 and is also remembered for his ""bathing beauties"" of the era.",MACK SENNETT,FILM,42,29,21,14,6,12,17,4.4,1.7
64-19-3,64,19,3,"Twin sons of Ares and Aphrodite, who were the Greek mythological personifications of fear and terror, gave their names (thanks to American astronomer Asaph Hall) to celestial objects that are most closely and uniquely associated with what other celestial object?",MARS,SCIENCE,86,76,70,55,33,48,55,4.4,1.2
64-19-4,64,19,4,"Identify the suburb of Portland, Oregon, that best fits in this list of municipalities: Peachtree City, Georgia; Prairie City, Illinois; Gem, Idaho; Centennial, Colorado; Silver Springs, Nevada; Magnolia, Mississippi; Buckeye Lake, Ohio.",BEAVERTON,GEOGRAPHY,62,45,40,29,20,29,33,4.4,1.7
64-19-5,64,19,5,"The Battle of Pork Chop Hill, Battle of Heartbreak Ridge, and Battle of the Bowling Alley were engagements fought during what war?",KOREAN WAR,WORLD HIST,80,65,53,41,25,39,44,4.4,1.2
64-19-6,64,19,6,"For 17 of 18 weeks from late October 2002 to early March 2003, Billboard magazine's ""Modern Rock"" chart was topped by three songs from three different bands that all shared a member (who served as drummer on two songs and guitarist and lead vocalist on the third). The songs were ""You Know You're Right,"" ""No One Knows,"" and ""All My Life."" Name the musician who was a member of all three bands.",DAVE GROHL,POP MUSIC,82,75,72,64,54,57,64,4.4,1.4
64-20-1,64,20,1,"The name of what company is formed from a portmanteau of Danish words that translate to English as ""play well""?",LEGO,LANGUAGE,95,91,88,75,57,69,74,4.4,0.9
64-20-2,64,20,2,"I saw the best minds of my generation destroyed by madness, starving hysterical naked, dragging themselves through the negro streets at dawn looking for an angry fix... Thus begins what influential poem, regarded generally as the anthem of the Beat Generation?",HOWL,LITERATURE,93,88,84,67,45,60,66,4.4,1.2
64-20-3,64,20,3,"The 1920 Treaty of Tartu established the borders between what two nations, which held until the treaty was broken by the Winter War of 1939—40?","FINLAND, RUSSIA",WORLD HIST,71,56,53,37,18,37,39,4.4,1.8
64-20-4,64,20,4,"Squads in the world's premier annual team tennis tournament represent their countries in a battle for a trophy purchased in 1900 by the event's founder, a Harvard student and future U.S. Secretary of War. What is the name of this trophy—and, by extension, event?",DAVIS CUP,GAMES/SPORT,85,75,74,59,46,52,60,4.4,1.4
64-20-5,64,20,5,"The pushy leading character in what stage musical has been portrayed on Broadway by theatre legends Ethel Merman (1959), Angela Lansbury (1975), Tyne Daly (1989), Bernadette Peters (2003), and Patti LuPone (2008)?",GYPSY,THEATRE,50,43,29,23,17,21,26,4.4,1.8
64-20-6,64,20,6,"What is the base shared by the sauces known around the world as nước mắm, patis, nam pla, jeotgal, and colatura d'alici?",FISH,FOOD/DRINK,73,56,55,34,27,34,41,4.4,1.6
64-21-1,64,21,1,The fictional Amazing Amy series of children's books is based on the childhood of the title character from what popular 2014 film?,GONE GIRL,FILM,72,57,54,50,50,52,54,5.7,1.0
64-21-2,64,21,2,"Name the Russian scientist, politician, former first deputy prime minister, and opposition leader who was murdered while walking home from dinner in Moscow late in the evening of February 27, 2015.",BORIS NEMTSOV,CURR EVENTS,66,52,45,32,19,33,36,5.7,1.5
64-21-3,64,21,3,"The medical condition goiter, which is an abnormal enlargement of the thyroid gland causing swelling of the larynx or neck, is most often caused by the dietary lack of what?",IODINE,SCIENCE,85,74,72,59,39,55,59,5.7,1.2
64-21-4,64,21,4,"The 2014 running of what prestigious automobile race, which concluded on Sunday, June 15, was won by Swiss Marcel Fässler, Frenchman Benoît Tréluyer, and German André Lotterer?",24 HOURS OF LE MANS,GAMES/SPORT,80,70,58,50,37,42,51,5.7,1.6
64-21-5,64,21,5,"For a period up until the early 1990s, many international maps displayed a diamond-shaped, 4400 mi2 ""Neutral Zone,"" whose existence was a result of the 1922 Treaty of Muhammarah. Between what two nations did this Neutral Zone sit?","IRAQ, SAUDI ARABIA",GEOGRAPHY,42,24,21,11,3,13,15,5.7,2.0
64-21-6,64,21,6,"Organized groups in the British colonies of North America who resisted the Stamp Act, passed by Parliament in 1765, came to be known collectively by what moniker? The groups, who remained active through the collapse of royal authority ten years later, have a name that is similar to (and surely inspired) a modern crime-drama television series.",SONS OF LIBERTY,AMER HIST,79,59,51,36,19,40,41,5.7,1.2
64-22-1,64,22,1,"The initiative that aims to establish a set of high-quality academic standards in mathematics and English language arts/literacy in the United States, and is underwritten by the Council of Chief State School Officers and the National Governors Association, is best known by what term?",COMMON CORE,CURR EVENTS,83,79,78,72,62,64,70,4.2,0.7
64-22-2,64,22,2,"In November 2013, casino empire cofounder Elaine Wynn purchased an oil-on-canvas triptych for over $142 million, setting the world record for art sold at an auction. Identify either the 20th c. Irish-born British artist who painted this triptych or his friend and rival, the 20th c. German-born British artist who is the subject of this work.","FRANCIS BACON, LUCIEN FREUD",ART,57,45,39,26,11,23,28,4.2,2.3
64-22-3,64,22,3,"As referenced in its title, a bestselling allegorical business book by Dr. Spencer Johnson, published in 1998, specifically addresses the moving of what?",CHEESE,LITERATURE,82,74,67,58,46,55,60,4.2,1.3
64-22-4,64,22,4,"What notoriously fickle but high-quality red wine grape variety, one of the three traditional champagne grape varieties (together with Chardonnay and Pinot Meunier), is the cultivar most associated with France's Burgundy region, which is its viticultural home?",PINOT NOIR,FOOD/DRINK,77,60,57,48,37,47,50,4.2,1.3
64-22-5,64,22,5,"The Roman Empire's Julio-Claudian dynasty lasted for 95 years, comprising roughly the first half of Pax Romana, from the ascension of Augustus in 27 BC until the suicide of Nero in 68 AD. Name any two of the other three emperors who ruled during the dynasty.","TIBERIUS, CALIGULA, CLAUDIUS",WORLD HIST,76,56,52,38,17,34,39,4.2,1.6
64-22-6,64,22,6,"As measured by land area, what is currently the largest country in Europe that was not a part of the USSR?","FRANCE (DENMARK, TURKEY also accepted)",GEOGRAPHY,77,58,57,49,40,50,52,4.2,1.3
64-23-1,64,23,1,"Independence Day was not formally celebrated for over 80 years in what southern U.S. city, due to painful memories of the city's fall to Maj. Gen. Ulysses S. Grant's Union forces on July 4, 1863, following a dreadful six-week siege?",VICKSBURG,AMER HIST,79,59,61,42,23,49,46,1.4,1.1
64-23-2,64,23,2,"Although he appears on screen only briefly in the movie's first few moments, U.S. Marine PFC William Santiago is central to the storyline of what 1992 film?",A FEW GOOD MEN,FILM,96,80,75,73,70,79,77,1.4,0.9
64-23-3,64,23,3,"Give the precise title (in English) of the smash bestselling novel by Haruki Murakami first published in Japanese in 2009, and English in 2011. The title is a play on the Japanese pronunciation of a George Orwell novel.",1Q84,LITERATURE,68,54,46,37,25,37,40,1.4,1.6
64-23-4,64,23,4,The array pictured here is most commonly named after what Frenchman? Click here,BLAISE PASCAL,MATH,72,64,48,50,41,54,52,1.4,1.6
64-23-5,64,23,5,This montage is representative of the work of what photographer? Click here,RICHARD AVEDON,ART,53,32,32,24,9,24,25,1.4,2.0
64-23-6,64,23,6,"The supernova remnant Messier 1 (better known as the Crab Nebula) and the orange giant star Aldebaran are within what zodiacal constellation, through which the Sun passes from mid-May to late June?",TAURUS,SCIENCE,55,36,28,17,9,23,23,1.4,1.3
64-24-1,64,24,1,"Got kind of tired packing and unpacking, / Town to town and up and down the dial / Maybe you and me were never meant to be, / But baby think of me once in awhile. The opening theme of what television sitcom includes these lyrics, which refer to character Andy Travis's decision to settle down after years of moving from job to job?",WKRP IN CINCINNATI,TELEVISION,77,62,54,45,31,40,46,4.2,1.4
64-24-2,64,24,2,"Infiniti, first introduced as a brand in the United States in 1989, is the luxury division of what automobile manufacturer?",NISSAN,BUS/ECON,82,67,60,48,43,52,54,4.2,1.1
64-24-3,64,24,3,"Unguja Island, which sits just off the southeast coast of Africa northwest of Madagascar., is a major producer of the world's supply of cloves and the largest member of an archipelago once known as the Spice Islands. The island is better known by what name?",ZANZIBAR,GEOGRAPHY,75,58,44,32,17,33,37,4.2,2.1
64-24-4,64,24,4,"Of the four heads carved into Mount Rushmore, which president's is on the far right?",ABRAHAM LINCOLN,AMER HIST,77,64,56,49,38,45,51,4.2,1.0
64-24-5,64,24,5,"""There is a kind of merry war betwixt Signior Benedick and her: they never meet but there's a skirmish of wit between them."" This line is uttered by Leonato in Act I Scene I of what Shakespeare play?",MUCH ADO ABOUT NOTHING,THEATRE,79,60,52,42,28,45,46,4.2,1.6
64-24-6,64,24,6,"If C = {1,2,3,4,5} and D = {4,5,6}, then C ∩ D = ?","{4,5}",MATH,76,76,66,62,57,60,64,4.2,1.4
64-25-1,64,25,1,"Le Pédant joué and L'Autre monde ou les états et empires de la Lune are among the works of what French dramatist and romantic (pictured), who is perhaps best known today for fictional depictions of him in other works? Click here",CYRANO DE BERGERAC,LITERATURE,69,46,39,29,17,28,33,4.9,1.5
64-25-2,64,25,2,"Mme Nadezhda von Meck is remembered today for her patronage, as well as her complex and exclusively epistolary relationship, with what composer, who dedicated his Fourth Symphony to her in 1877?",PYOTR TCHAIKOVSKY,CLASS MUSIC,65,52,36,26,13,24,30,4.9,1.9
64-25-3,64,25,3,"The staging of a theatrical adaptation of ""What We Talk About When We Talk About Love,"" a short story from a 1981 collection of the same title by Raymond Carver, provides the basis for what Academy Award-winning film?",BIRDMAN,FILM,72,55,54,41,32,37,44,4.9,0.9
64-25-4,64,25,4,Identify the New Jersey university named after the woman who became the first native-born U.S. citizen to be canonized as a saint in the Roman Catholic Church.,SETON HALL UNIVERSITY,LIFESTYLE,73,57,46,33,20,36,39,4.9,1.3
64-25-5,64,25,5,"Of the five teams that have won the Cricket World Cup in its history, four are nations (India, Australia, Pakistan, Sri Lanka), while the fifth is a multinational team known by what name?",WEST INDIES,GAMES/SPORT,60,41,39,27,14,26,30,4.9,1.7
64-25-6,64,25,6,"If an atom (or group of atoms) gains electrons or loses protons, it becomes a specific type of ion called an anion. What is the term for the opposite—an ion in which an atom loses electrons?",CATION,SCIENCE,77,70,64,52,40,53,55,4.9,1.1
65-1-1,65,1,1,"Due to a unique distinction that lasted until his retirement in 1997, long-time NHL center Craig MacTavish is today most closely associated with what ice hockey accoutrement?",HELMET,GAMES/SPORT,77,57,56,50,36,42,49,4.4,1.5
65-1-2,65,1,2,What is the first name shared by the three female characters in this montage? Click here,TRIXIE,TELEVISION,79,55,51,37,23,35,42,4.4,1.4
65-1-3,65,1,3,"Popular native dishes, such as a ubiquitous preparation in the tradition of Japanese musubi, as well as local varieties manufactured exclusively for the state, help make Hawaiians by far the greatest per capita consumers of what food item?",SPAM,FOOD/DRINK,87,75,67,61,50,58,63,4.4,1.0
